index,topic,termIndices,termWeights
0,0,"[64, 679, 662, 889, 93, 92, 24, 75, 245, 1066, 981, 1551, 4198, 112, 108, 179, 240, 386, 58, 3579, 262, 188, 198, 3118, 113, 73, 2655, 254, 210, 214, 329, 216, 83, 706, 280, 562, 154, 172, 1355, 3202, 1590, 3509, 417, 451, 3131, 5451, 1166, 1003, 3797, 461]","[0.003148541499601355, 0.002949748436947479, 0.002486981732394349, 0.0020706829394237175, 0.0020374717946659306, 0.0016671935975006843, 0.00166661255040476, 0.001601472295980944, 0.001569375597301587, 0.001543984501817328, 0.001391865693084298, 0.0012577047286018005, 0.00121672880937363, 0.00110459027562677, 0.0011037899816999175, 0.0010710616709640416, 0.0010416012702589136, 0.001035054429305297, 0.0010302189420957183, 0.00101535313794031, 0.0010143420819036318, 0.0010025092258249553, 0.0009996156163033058, 0.0009816095239780197, 0.0009702548901677813, 0.0009631913343297306, 0.0009257991389422704, 0.0009239104837462655, 0.0009104946738218679, 0.0008678562580214332, 0.0008648316583834858, 0.0008591954072585464, 0.000852754952199622, 0.000846186774473153, 0.0008388368721165049, 0.000824728665887237, 0.0008211032909189876, 0.0007949130470415619, 0.0007882720084483654, 0.0007805508667822231, 0.0007792202964586122, 0.0007713997286122164, 0.00074818380398162, 0.0007436387860737208, 0.0007431313057455959, 0.0007399995576405222, 0.0007356328278576646, 0.0007234700625213773, 0.0007191459654731957, 0.0007188239204192674]"
1,1,"[1843, 64, 92, 75, 1503, 1951, 1961, 458, 254, 756, 936, 211, 2453, 1761, 399, 163, 4056, 212, 6157, 53, 1724, 214, 2225, 864, 3575, 2139, 2607, 131, 2530, 2476, 429, 57, 256, 3456, 187, 47, 76, 377, 9129, 612, 850, 1683, 101, 67, 270, 1166, 663, 207, 5001, 108]","[0.003343505437601226, 0.0031352037926743654, 0.0028057750468804296, 0.002549937342658407, 0.0022844705907741907, 0.0015189271595717835, 0.0015053573896136872, 0.0014994414256915597, 0.0014953313767635148, 0.001464437061104278, 0.001313734022716555, 0.0012313312425503097, 0.00118299327345401, 0.0011378266258889212, 0.0010726347310557212, 0.0010709245116616063, 0.001064011260576497, 0.001039785823027994, 0.0009864675946771456, 0.0009740931184759341, 0.0009707915296395983, 0.0009321134249182402, 0.000923117841681641, 0.0009168619818634285, 0.0009136926935752018, 0.000900374285723185, 0.0008994144705320153, 0.000895945652766819, 0.0008816542557399941, 0.0008758935996264877, 0.0008601717063691706, 0.0008505976480671367, 0.0008477435129711542, 0.0008413215444192472, 0.0008227200858078796, 0.0008158025801734682, 0.0008145733064272505, 0.0007922117340025112, 0.0007895064532923668, 0.0007859529356592566, 0.0007801153302631579, 0.0007693131913626778, 0.0007661426496842442, 0.0007655629955346755, 0.0007545418092610718, 0.0007422991519844737, 0.0007326886807823078, 0.0007064180761617401, 0.0007051893667361966, 0.0007037286423547934]"
2,2,"[212, 502, 67, 377, 131, 92, 227, 1027, 612, 1198, 3192, 214, 333, 971, 1397, 1536, 187, 1538, 163, 588, 423, 1907, 13731, 582, 543, 43, 2287, 953, 3865, 1298, 216, 130, 2241, 73, 13, 52, 429, 365, 57, 260, 1279, 3190, 417, 269, 684, 443, 119, 59, 1557, 93]","[0.0035334880060227955, 0.0028629711815548143, 0.002707014960182639, 0.0026854873865619537, 0.0019360146450968043, 0.00174142788228232, 0.0016700579387083619, 0.0016090698677303365, 0.001605237979673083, 0.00154040865193845, 0.0015368724854202811, 0.001492352594764867, 0.001444712847363617, 0.001433940909845863, 0.0014253492750486553, 0.001402523176928256, 0.001331404411321919, 0.001265543175932841, 0.0012212865206788323, 0.0011732704969555563, 0.001100728302914618, 0.001075890927575989, 0.0010713339221706556, 0.001069407145976266, 0.0010611223051920549, 0.0010610054685862, 0.0010523428586355547, 0.0010205744792645217, 0.0010135607414335115, 0.0009794232546422297, 0.0009778922084161736, 0.0009631917508244845, 0.0009397501793144686, 0.000939165360484668, 0.000924993119943217, 0.0009154026000838842, 0.000889786872997453, 0.0008843706879135797, 0.0008781742035686, 0.0008758818903035157, 0.0008737516423837301, 0.000849217065212006, 0.000839152936863591, 0.0008200737971493598, 0.0008160396831537216, 0.0008037065232905373, 0.000802034270513145, 0.0008003287683871202, 0.0007930180222278326, 0.0007887775915280875]"
3,3,"[120, 17, 885, 64, 92, 245, 675, 2534, 3972, 1670, 1520, 1839, 917, 646, 812, 662, 433, 212, 697, 351, 489, 1781, 893, 300, 863, 2018, 876, 757, 5132, 1379, 2943, 994, 645, 209, 3099, 786, 927, 2774, 471, 690, 2892, 7, 2481, 1744, 93, 551, 1634, 1378, 70, 52]","[0.004255699464680531, 0.003594282488258075, 0.0032695346292642606, 0.0028795231264638387, 0.002420086059094656, 0.0023772599615091033, 0.0023304007580469636, 0.002124591275831776, 0.001940853798006527, 0.0017456842811642366, 0.0016785351158437691, 0.0016477476963305327, 0.0016041863111684587, 0.0015841081082470043, 0.0014924918067830593, 0.0014555926210545252, 0.001441873653055123, 0.001416981052531826, 0.0013500276365890674, 0.0013486092039757612, 0.0013193354773113836, 0.0013039658110703478, 0.001302508616547769, 0.0012858901453153746, 0.0012701401085204757, 0.0012591943993164286, 0.0012075892590312786, 0.0011858304113910381, 0.0011754587025601636, 0.0011504184603715391, 0.001122216664671171, 0.0011145819871278227, 0.0011068257858046911, 0.0010892105995906466, 0.0010755523096894028, 0.0010730292796337644, 0.001029816410410806, 0.0010197477727399808, 0.001019117086791474, 0.0010128444745951893, 0.001004147018782281, 0.0009884633913913785, 0.0009721955924125935, 0.0009708823663733047, 0.0009673185178354569, 0.0009554163414623443, 0.000952903285299384, 0.0009274395268297318, 0.0009273993104104587, 0.0009142769959280736]"
4,4,"[17, 75, 93, 24, 120, 67, 1067, 262, 26, 702, 766, 214, 735, 209, 355, 525, 313, 53, 884, 20, 592, 187, 261, 612, 158, 697, 399, 654, 823, 64, 913, 1063, 227, 979, 145, 489, 333, 1080, 465, 59, 754, 659, 130, 1323, 380, 92, 317, 240, 280, 707]","[0.002998027472747861, 0.0026849402424758417, 0.002500308955383498, 0.002022579494142357, 0.0019178776527521756, 0.0017837956594172466, 0.0016216037950562816, 0.0015539239304844352, 0.0015047099384499492, 0.0013488906080191705, 0.0013012418905964398, 0.0012691941782375538, 0.0012124601948967687, 0.0011790577893334587, 0.001024758790198927, 0.0010005631162173997, 0.0009951634594398315, 0.0009934767629239739, 0.0009707529076347872, 0.0009609199944838491, 0.0009462090740836052, 0.0009239614606145377, 0.0009212123460438955, 0.0009103523530712553, 0.0009059580982297435, 0.0008989242934968192, 0.000897661786515425, 0.0008949527021351356, 0.0008933473317122501, 0.0008867950334985495, 0.0008779734530206695, 0.0008770938853235032, 0.0008701088176987474, 0.0008655055773245991, 0.0008570384114055427, 0.000841548439678772, 0.000837917791767008, 0.0008309416807817906, 0.0007997825412306982, 0.0007988890027833854, 0.0007926576148906049, 0.0007911232045127881, 0.000789579185612706, 0.0007835189956578632, 0.0007810590979969301, 0.0007742283790748349, 0.0007683307716375932, 0.0007677920135671739, 0.0007659908053379576, 0.0007567445145462749]"
5,5,"[153, 376, 463, 319, 1026, 508, 278, 1176, 918, 1114, 1451, 1690, 231, 677, 1652, 1087, 1420, 1827, 225, 1934, 1464, 361, 1502, 2068, 93, 648, 585, 300, 1193, 609, 126, 2108, 723, 241, 437, 646, 32, 1057, 50, 2116, 1822, 1098, 1953, 1968, 7, 937, 1000, 1330, 2493, 2584]","[0.006266393967212632, 0.006209230073158495, 0.003650824020387296, 0.0034769344695484185, 0.0022638980959604066, 0.0022214854790922937, 0.0021936807141873776, 0.002174426413772019, 0.0020896134639117546, 0.001982857026271517, 0.001785393045551347, 0.001741017915369022, 0.0017163267115455822, 0.001644182626072288, 0.0015979727171355805, 0.0015845829925557622, 0.0014801188955850663, 0.001477528713260137, 0.0014028273588406518, 0.001299298431167069, 0.0012864838138190874, 0.0012708289970133485, 0.001213421528937336, 0.0012073821888501047, 0.001204639853861518, 0.001195111525440594, 0.0011780649044337678, 0.0011661335112308773, 0.001159066987785976, 0.0011541807380539154, 0.00109963329607362, 0.0010865132140233952, 0.00106758124401794, 0.0010577070167007048, 0.0010397739879239706, 0.0009936823708470775, 0.0009669931186173926, 0.0009622866625540554, 0.0009589089039575529, 0.0009422124300309307, 0.0009402003011929658, 0.0009249331825097898, 0.0009232678969108539, 0.0009166758469397995, 0.0008935546593186987, 0.0008927400033287772, 0.0008910407620922664, 0.0008899162663956443, 0.000879228451949895, 0.0008731957489857821]"
6,6,"[1066, 355, 1315, 2290, 1155, 3913, 4265, 231, 1507, 1058, 1338, 453, 1105, 240, 366, 258, 153, 1276, 557, 1283, 463, 443, 893, 455, 872, 850, 515, 729, 1018, 76, 1344, 92, 2572, 2051, 17, 1249, 895, 2075, 767, 5723, 609, 179, 278, 708, 4, 7, 981, 746, 2954, 2323]","[0.002535342921295596, 0.0024459670900629678, 0.0023501949394352365, 0.0021065678931012997, 0.0016187479420370452, 0.001515686230321352, 0.0014297915245489307, 0.0014291586006070973, 0.0013931921525400356, 0.0013768594773879421, 0.001314781107880184, 0.001229182724452982, 0.0012098574767506884, 0.0011952776559072478, 0.0011790305475617875, 0.0011767152543281547, 0.0011414937328128305, 0.0011281531438673842, 0.001123597362219211, 0.0010711815733357557, 0.001060776883796747, 0.0010312044382335321, 0.0009941571302970922, 0.0009635078079658985, 0.0009520455669186452, 0.0009482018421252345, 0.0009384561441731383, 0.0009027011958843572, 0.0008979068217944869, 0.0008668939081627817, 0.000866042993864338, 0.0008629527857205527, 0.0008532764753309472, 0.0008526070912848236, 0.0008431839350631391, 0.0008341251893755418, 0.0008291598080548384, 0.0008278561980979354, 0.0008240733151796571, 0.0008161504324514997, 0.0008096792188242243, 0.0008086892397011198, 0.000808663904890753, 0.0008053290768711574, 0.0007994510233640119, 0.0007991820237556225, 0.0007946634974481299, 0.0007890008203247594, 0.0007831187555930431, 0.0007727307557633668]"
7,7,"[77, 460, 170, 17, 7, 912, 1040, 513, 1313, 1462, 50, 1321, 291, 20, 806, 250, 1416, 1168, 53, 846, 1054, 106, 57, 400, 865, 163, 2491, 58, 717, 429, 1498, 1943, 848, 626, 1866, 175, 1955, 745, 1736, 991, 974, 67, 710, 1389, 26, 1123, 613, 5388, 180, 419]","[0.004675342114902314, 0.004263862473616236, 0.0037005924906907735, 0.0034914250786870415, 0.0031163376689515208, 0.0027783668442853595, 0.0027485897974619602, 0.0026784174863280466, 0.0024464307082266144, 0.0021544481266693497, 0.0020681999902964327, 0.0020406172242358367, 0.0020005041443309393, 0.0019962604811480746, 0.0019297234745108392, 0.0018910419806915733, 0.0018602521402011263, 0.0018449411558795119, 0.001814161150307692, 0.0018132866666537852, 0.0018116670570777426, 0.001641091492877076, 0.0015880867288799463, 0.0015685134922964817, 0.0015107762208258291, 0.0014777300770380292, 0.0013776540553733921, 0.0013527426252841852, 0.0013513398909025896, 0.0013186260752547053, 0.0012983652696982857, 0.0012475003533674281, 0.0012064126432883495, 0.0011417554945194002, 0.001130484864297887, 0.0011237173739844354, 0.0011188255646178869, 0.001113531732142471, 0.0010864398122014118, 0.0010530296255014074, 0.0010254142908949716, 0.0010020476029335723, 0.001001186476480573, 0.000983381054515394, 0.0009776836517583812, 0.0009641017408089117, 0.0009626807817432298, 0.0009567529664817522, 0.0009446043581184936, 0.0009307475952026303]"
8,8,"[94, 316, 200, 557, 678, 136, 414, 837, 178, 601, 76, 207, 266, 108, 485, 588, 57, 1121, 359, 58, 329, 921, 254, 172, 173, 88, 31, 798, 767, 298, 458, 4, 461, 73, 83, 690, 198, 558, 1716, 132, 292, 74, 12, 949, 914, 1363, 154, 1325, 435, 464]","[0.004894011919576771, 0.004786644511474074, 0.0033023585067025714, 0.0032181955278254497, 0.0029743465470256293, 0.002545419562683015, 0.0022879443226070466, 0.002016277839547555, 0.0017856745613291348, 0.0016777949018859852, 0.001676306485949566, 0.001513529208540765, 0.0015043440310744886, 0.0014959024910140997, 0.001400285589028623, 0.001211812973489153, 0.0012043261285215963, 0.0011978054839409677, 0.0011871356846470764, 0.0011779452568777106, 0.0011669712494574737, 0.0011520278576683388, 0.0011289345340221915, 0.0011049179301397176, 0.001095638540999358, 0.001085201416035629, 0.0010679536240381688, 0.001059931692064202, 0.0010306919003966173, 0.0010186833717641976, 0.0009988424803011658, 0.0009915373839312898, 0.0009906683209980973, 0.0009715012885998482, 0.0009421713225752027, 0.000890847899786868, 0.0008813821211469793, 0.0008588789131932972, 0.0008582807967506774, 0.0008253313589638038, 0.0008207749912175487, 0.0008096578275741268, 0.0008072732474482963, 0.0007851565642181221, 0.000783194640692315, 0.0007798831384096538, 0.0007783852582359068, 0.0007754916391553849, 0.0007704886619501956, 0.0007704007703763403]"
9,9,"[266, 94, 7, 200, 482, 136, 141, 506, 31, 700, 558, 77, 952, 1328, 238, 1291, 43, 859, 743, 1247, 318, 20, 32, 815, 50, 2279, 250, 78, 106, 1653, 361, 123, 646, 1923, 2026, 645, 937, 2, 2396, 1495, 614, 420, 17, 2314, 535, 119, 600, 1367, 4143, 2860]","[0.004268374055829305, 0.003787757314573415, 0.0027296921232765154, 0.002308307721214755, 0.0020475202156434048, 0.0019968928747171816, 0.0018702462354038935, 0.0018340591154575759, 0.0017340247498213485, 0.0017241593244989733, 0.0017189375860011539, 0.0016532947381493078, 0.0015608748914093837, 0.0015258986429102397, 0.0015254698847284572, 0.0015232575917898112, 0.0014425813718161743, 0.0014095016871353858, 0.001359798993972144, 0.001338378264562065, 0.0013380707383619506, 0.0013035203040666094, 0.0012574394573890712, 0.0012573957776872771, 0.0012432580103391303, 0.00122913804839477, 0.0011969297932457289, 0.0011918160728598946, 0.0011249336080674736, 0.0011239482542984385, 0.0010747998331017206, 0.0010411808913895892, 0.0010346333650208498, 0.0010314025698089206, 0.000995156773286176, 0.000986748424439328, 0.0009843481079000438, 0.0009584698961564394, 0.0009474555507735907, 0.0009320059759889949, 0.0009154294239688797, 0.0008745585094420392, 0.0008542538202745196, 0.0008538509104991909, 0.0008496163006862344, 0.0008413052954515796, 0.0008292074920087205, 0.0008272166634140061, 0.0008213762056475742, 0.0008084407685072252]"
